Transaction ID,Date,Store ID,Store Name,City,State,Customer ID,Gender,Age,Product ID,Product Name,Product Category,Quantity,Cost Price,Price per Unit,Discount %,Gross Sales,Discount Amount,Total Amount,Total Cost,Profit,Profit Margin %,Opening Stock,Purchased Stock,Stock Before Sale,Stock After Sale,Reorder Level,Stock Status,Payment Method,Year,Month,Month Name,Quarter,Day Name,Season
T002136,2024-01-02,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0739,Female,30,P004,USB Cable,Electronics,3,220.0,450.0,0,1350.0,0.0,1350.0,660.0,690.0,51.11,212,68,280,277,27,Healthy,UPI,2024,1,January,Q1,Tuesday,Winter
T001802,2024-01-02,ST004,Mall Store,Agra,Uttar Pradesh,C0421,Female,51,P004,USB Cable,Electronics,4,220.0,450.0,5,1800.0,90.0,1710.0,880.0,830.0,48.54,242,17,259,255,54,Healthy,UPI,2024,1,January,Q1,Tuesday,Winter
T000213,2024-01-02,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0245,Female,39,P006,Jeans,Clothing,5,950.0,1600.0,20,8000.0,1600.0,6400.0,4750.0,1650.0,25.78,217,81,298,293,22,Healthy,Debit Card,2024,1,January,Q1,Tuesday,Winter
T001551,2024-01-03,ST002,City Center Store,Bareilly,Uttar Pradesh,C0723,Male,29,P017,Water Bottle,Home & Kitchen,1,290.0,500.0,5,500.0,25.0,475.0,290.0,185.0,38.95,287,115,402,401,35,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T003742,2024-01-03,ST002,City Center Store,Bareilly,Uttar Pradesh,C0074,Female,21,P012,Tea 500g,Grocery,3,190.0,280.0,10,840.0,84.0,756.0,570.0,186.0,24.6,52,104,156,153,40,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T004477,2024-01-03,ST002,City Center Store,Bareilly,Uttar Pradesh,C0225,Male,41,P009,Cooking Oil,Grocery,2,135.0,180.0,10,360.0,36.0,324.0,270.0,54.0,16.67,106,140,246,244,47,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T004674,2024-01-03,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0025,Male,34,P010,Rice 5kg,Grocery,2,510.0,650.0,20,1300.0,260.0,1040.0,1020.0,20.0,1.92,210,90,300,298,28,Healthy,Credit Card,2024,1,January,Q1,Wednesday,Winter
T000884,2024-01-03,ST004,Mall Store,Agra,Uttar Pradesh,C0968,Female,23,P008,Sneakers,Clothing,1,2050.0,3200.0,5,3200.0,160.0,3040.0,2050.0,990.0,32.57,240,46,286,285,42,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T001493,2024-01-03,ST004,Mall Store,Agra,Uttar Pradesh,C0585,Male,27,P004,USB Cable,Electronics,2,220.0,450.0,25,900.0,225.0,675.0,440.0,235.0,34.81,240,125,365,363,39,Healthy,Debit Card,2024,1,January,Q1,Wednesday,Winter
T002090,2024-01-03,ST004,Mall Store,Agra,Uttar Pradesh,C0949,Male,28,P011,Wheat Flour 5kg,Grocery,1,225.0,300.0,0,300.0,0.0,300.0,225.0,75.0,25.0,102,16,118,117,59,Healthy,Cash,2024,1,January,Q1,Wednesday,Winter
T003910,2024-01-03,ST004,Mall Store,Agra,Uttar Pradesh,C0250,Female,42,P009,Cooking Oil,Grocery,5,135.0,180.0,15,900.0,135.0,765.0,675.0,90.0,11.76,188,113,301,296,40,Healthy,Cash,2024,1,January,Q1,Wednesday,Winter
T000956,2024-01-04,ST002,City Center Store,Bareilly,Uttar Pradesh,C0032,Female,18,P004,USB Cable,Electronics,2,220.0,450.0,0,900.0,0.0,900.0,440.0,460.0,51.11,173,71,244,242,57,Healthy,Cash,2024,1,January,Q1,Thursday,Winter
T001301,2024-01-04,ST002,City Center Store,Bareilly,Uttar Pradesh,C0083,Male,40,P007,Jacket,Clothing,1,1700.0,2800.0,15,2800.0,420.0,2380.0,1700.0,680.0,28.57,182,33,215,214,47,Healthy,UPI,2024,1,January,Q1,Thursday,Winter
T004081,2024-01-04,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0368,Male,25,P004,USB Cable,Electronics,3,220.0,450.0,5,1350.0,67.5,1282.5,660.0,622.5,48.54,169,125,294,291,46,Healthy,UPI,2024,1,January,Q1,Thursday,Winter
T000133,2024-01-05,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0608,Female,43,P012,Tea 500g,Grocery,1,190.0,280.0,20,280.0,56.0,224.0,190.0,34.0,15.18,41,31,72,71,42,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T000834,2024-01-05,ST002,City Center Store,Bareilly,Uttar Pradesh,C0420,Male,43,P010,Rice 5kg,Grocery,3,510.0,650.0,0,1950.0,0.0,1950.0,1530.0,420.0,21.54,232,130,362,359,39,Healthy,Cash,2024,1,January,Q1,Friday,Winter
T000421,2024-01-05,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C1136,Male,29,P001,Wireless Headphones,Electronics,3,1200.0,1800.0,5,5400.0,270.0,5130.0,3600.0,1530.0,29.82,111,118,229,226,44,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T003886,2024-01-05,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C1162,Male,39,P007,Jacket,Clothing,1,1700.0,2800.0,5,2800.0,140.0,2660.0,1700.0,960.0,36.09,158,82,240,239,33,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T000722,2024-01-05,ST004,Mall Store,Agra,Uttar Pradesh,C1105,Male,18,P008,Sneakers,Clothing,2,2050.0,3200.0,20,6400.0,1280.0,5120.0,4100.0,1020.0,19.92,56,31,87,85,32,Healthy,Credit Card,2024,1,January,Q1,Friday,Winter
T001025,2024-01-05,ST004,Mall Store,Agra,Uttar Pradesh,C0747,Female,22,P006,Jeans,Clothing,1,950.0,1600.0,0,1600.0,0.0,1600.0,950.0,650.0,40.62,106,62,168,167,32,Healthy,Cash,2024,1,January,Q1,Friday,Winter
T000952,2024-01-06,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0096,Male,42,P016,Perfume,Beauty,1,560.0,900.0,20,900.0,180.0,720.0,560.0,160.0,22.22,251,85,336,335,53,Healthy,Cash,2024,1,January,Q1,Saturday,Winter
T004518,2024-01-06,ST002,City Center Store,Bareilly,Uttar Pradesh,C1075,Female,22,P011,Wheat Flour 5kg,Grocery,5,225.0,300.0,20,1500.0,300.0,1200.0,1125.0,75.0,6.25,143,68,211,206,53,Healthy,UPI,2024,1,January,Q1,Saturday,Winter
T001835,2024-01-07,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0420,Male,43,P011,Wheat Flour 5kg,Grocery,3,225.0,300.0,0,900.0,0.0,900.0,675.0,225.0,25.0,224,100,324,321,35,Healthy,Cash,2024,1,January,Q1,Sunday,Winter
T003359,2024-01-07,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0596,Male,38,P005,T-Shirt,Clothing,2,380.0,700.0,10,1400.0,140.0,1260.0,760.0,500.0,39.68,214,100,314,312,40,Healthy,UPI,2024,1,January,Q1,Sunday,Winter
T001252,2024-01-07,ST002,City Center Store,Bareilly,Uttar Pradesh,C0177,Male,43,P007,Jacket,Clothing,3,1700.0,2800.0,0,8400.0,0.0,8400.0,5100.0,3300.0,39.29,209,65,274,271,24,Healthy,UPI,2024,1,January,Q1,Sunday,Winter
T001688,2024-01-07,ST002,City Center Store,Bareilly,Uttar Pradesh,C0811,Male,34,P012,Tea 500g,Grocery,1,190.0,280.0,20,280.0,56.0,224.0,190.0,34.0,15.18,240,131,371,370,42,Healthy,Cash,2024,1,January,Q1,Sunday,Winter
T004612,2024-01-07,ST002,City Center Store,Bareilly,Uttar Pradesh,C0433,Male,21,P019,Cookware Set,Home & Kitchen,1,1500.0,2400.0,5,2400.0,120.0,2280.0,1500.0,780.0,34.21,113,60,173,172,34,Healthy,Cash,2024,1,January,Q1,Sunday,Winter
T001619,2024-01-07,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0461,Male,41,P012,Tea 500g,Grocery,3,190.0,280.0,5,840.0,42.0,798.0,570.0,228.0,28.57,212,10,222,219,57,Healthy,UPI,2024,1,January,Q1,Sunday,Winter
T002347,2024-01-07,ST004,Mall Store,Agra,Uttar Pradesh,C0087,Male,28,P016,Perfume,Beauty,3,560.0,900.0,10,2700.0,270.0,2430.0,1680.0,750.0,30.86,263,93,356,353,38,Healthy,UPI,2024,1,January,Q1,Sunday,Winter
T000883,2024-01-07,ST005,Station Road Store,Lucknow,Uttar Pradesh,C1104,Female,33,P007,Jacket,Clothing,3,1700.0,2800.0,5,8400.0,420.0,7980.0,5100.0,2880.0,36.09,164,12,176,173,47,Healthy,Debit Card,2024,1,January,Q1,Sunday,Winter
T004363,2024-01-07,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0008,Female,41,P002,Bluetooth Speaker,Electronics,2,1450.0,2200.0,15,4400.0,660.0,3740.0,2900.0,840.0,22.46,138,140,278,276,45,Healthy,Cash,2024,1,January,Q1,Sunday,Winter
T000863,2024-01-08,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0465,Male,18,P020,Bedsheet,Home & Kitchen,1,650.0,1100.0,0,1100.0,0.0,1100.0,650.0,450.0,40.91,180,43,223,222,23,Healthy,Credit Card,2024,1,January,Q1,Monday,Winter
T001228,2024-01-08,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0560,Female,43,P007,Jacket,Clothing,2,1700.0,2800.0,20,5600.0,1120.0,4480.0,3400.0,1080.0,24.11,284,123,407,405,32,Healthy,Cash,2024,1,January,Q1,Monday,Winter
T003163,2024-01-08,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C1158,Female,48,P009,Cooking Oil,Grocery,3,135.0,180.0,10,540.0,54.0,486.0,405.0,81.0,16.67,44,34,78,75,31,Healthy,Credit Card,2024,1,January,Q1,Monday,Winter
T000694,2024-01-08,ST002,City Center Store,Bareilly,Uttar Pradesh,C1062,Female,25,P007,Jacket,Clothing,2,1700.0,2800.0,0,5600.0,0.0,5600.0,3400.0,2200.0,39.29,222,99,321,319,20,Healthy,Credit Card,2024,1,January,Q1,Monday,Winter
T002514,2024-01-08,ST002,City Center Store,Bareilly,Uttar Pradesh,C0880,Male,38,P010,Rice 5kg,Grocery,1,510.0,650.0,25,650.0,162.5,487.5,510.0,-22.5,-4.62,254,33,287,286,27,Healthy,Cash,2024,1,January,Q1,Monday,Winter
T002012,2024-01-08,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0005,Male,40,P012,Tea 500g,Grocery,3,190.0,280.0,0,840.0,0.0,840.0,570.0,270.0,32.14,247,112,359,356,32,Healthy,UPI,2024,1,January,Q1,Monday,Winter
T002942,2024-01-08,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0810,Male,34,P001,Wireless Headphones,Electronics,4,1200.0,1800.0,10,7200.0,720.0,6480.0,4800.0,1680.0,25.93,230,141,371,367,58,Healthy,UPI,2024,1,January,Q1,Monday,Winter
T004930,2024-01-08,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0990,Male,19,P006,Jeans,Clothing,2,950.0,1600.0,20,3200.0,640.0,2560.0,1900.0,660.0,25.78,52,121,173,171,39,Healthy,Debit Card,2024,1,January,Q1,Monday,Winter
T003958,2024-01-08,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0156,Female,44,P013,Face Wash,Beauty,3,150.0,250.0,10,750.0,75.0,675.0,450.0,225.0,33.33,257,32,289,286,41,Healthy,Cash,2024,1,January,Q1,Monday,Winter
T000276,2024-01-09,ST002,City Center Store,Bareilly,Uttar Pradesh,C1041,Female,20,P017,Water Bottle,Home & Kitchen,1,290.0,500.0,20,500.0,100.0,400.0,290.0,110.0,27.5,93,96,189,188,52,Healthy,Debit Card,2024,1,January,Q1,Tuesday,Winter
T000599,2024-01-09,ST002,City Center Store,Bareilly,Uttar Pradesh,C0446,Male,48,P007,Jacket,Clothing,4,1700.0,2800.0,5,11200.0,560.0,10640.0,6800.0,3840.0,36.09,282,131,413,409,49,Healthy,UPI,2024,1,January,Q1,Tuesday,Winter
T001819,2024-01-09,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0630,Male,37,P012,Tea 500g,Grocery,1,190.0,280.0,10,280.0,28.0,252.0,190.0,62.0,24.6,79,107,186,185,22,Healthy,Cash,2024,1,January,Q1,Tuesday,Winter
T001943,2024-01-10,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0797,Male,23,P014,Shampoo,Beauty,4,260.0,420.0,10,1680.0,168.0,1512.0,1040.0,472.0,31.22,66,136,202,198,58,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T003631,2024-01-10,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0432,Female,35,P008,Sneakers,Clothing,2,2050.0,3200.0,5,6400.0,320.0,6080.0,4100.0,1980.0,32.57,249,103,352,350,26,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T003993,2024-01-10,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0694,Female,35,P017,Water Bottle,Home & Kitchen,2,290.0,500.0,10,1000.0,100.0,900.0,580.0,320.0,35.56,269,51,320,318,33,Healthy,Credit Card,2024,1,January,Q1,Wednesday,Winter
T002170,2024-01-10,ST002,City Center Store,Bareilly,Uttar Pradesh,C0759,Female,55,P020,Bedsheet,Home & Kitchen,4,650.0,1100.0,5,4400.0,220.0,4180.0,2600.0,1580.0,37.8,232,76,308,304,27,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T002666,2024-01-10,ST002,City Center Store,Bareilly,Uttar Pradesh,C0721,Female,23,P007,Jacket,Clothing,2,1700.0,2800.0,25,5600.0,1400.0,4200.0,3400.0,800.0,19.05,154,59,213,211,25,Healthy,Credit Card,2024,1,January,Q1,Wednesday,Winter
T000719,2024-01-10,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0674,Male,18,P003,Smart Watch,Electronics,1,2300.0,3500.0,10,3500.0,350.0,3150.0,2300.0,850.0,26.98,173,33,206,205,44,Healthy,Credit Card,2024,1,January,Q1,Wednesday,Winter
T002499,2024-01-10,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0976,Female,47,P012,Tea 500g,Grocery,3,190.0,280.0,10,840.0,84.0,756.0,570.0,186.0,24.6,56,122,178,175,60,Healthy,Debit Card,2024,1,January,Q1,Wednesday,Winter
T004143,2024-01-10,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C1022,Female,28,P003,Smart Watch,Electronics,1,2300.0,3500.0,10,3500.0,350.0,3150.0,2300.0,850.0,26.98,207,14,221,220,21,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T000990,2024-01-10,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0210,Female,49,P005,T-Shirt,Clothing,2,380.0,700.0,10,1400.0,140.0,1260.0,760.0,500.0,39.68,76,142,218,216,47,Healthy,UPI,2024,1,January,Q1,Wednesday,Winter
T001347,2024-01-11,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C1086,Female,31,P001,Wireless Headphones,Electronics,2,1200.0,1800.0,20,3600.0,720.0,2880.0,2400.0,480.0,16.67,203,111,314,312,38,Healthy,Credit Card,2024,1,January,Q1,Thursday,Winter
T001100,2024-01-11,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0484,Male,18,P007,Jacket,Clothing,2,1700.0,2800.0,10,5600.0,560.0,5040.0,3400.0,1640.0,32.54,104,137,241,239,51,Healthy,UPI,2024,1,January,Q1,Thursday,Winter
T001779,2024-01-11,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0274,Male,25,P006,Jeans,Clothing,5,950.0,1600.0,5,8000.0,400.0,7600.0,4750.0,2850.0,37.5,195,110,305,300,45,Healthy,UPI,2024,1,January,Q1,Thursday,Winter
T004570,2024-01-11,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0133,Male,22,P007,Jacket,Clothing,2,1700.0,2800.0,10,5600.0,560.0,5040.0,3400.0,1640.0,32.54,162,29,191,189,59,Healthy,Cash,2024,1,January,Q1,Thursday,Winter
T001516,2024-01-11,ST004,Mall Store,Agra,Uttar Pradesh,C0133,Male,22,P006,Jeans,Clothing,1,950.0,1600.0,20,1600.0,320.0,1280.0,950.0,330.0,25.78,159,94,253,252,34,Healthy,UPI,2024,1,January,Q1,Thursday,Winter
T001401,2024-01-12,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0744,Female,38,P017,Water Bottle,Home & Kitchen,3,290.0,500.0,5,1500.0,75.0,1425.0,870.0,555.0,38.95,118,64,182,179,28,Healthy,Credit Card,2024,1,January,Q1,Friday,Winter
T002282,2024-01-12,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0457,Female,37,P014,Shampoo,Beauty,2,260.0,420.0,10,840.0,84.0,756.0,520.0,236.0,31.22,163,15,178,176,57,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T002334,2024-01-12,ST002,City Center Store,Bareilly,Uttar Pradesh,C0944,Male,34,P006,Jeans,Clothing,1,950.0,1600.0,0,1600.0,0.0,1600.0,950.0,650.0,40.62,48,48,96,95,58,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T002378,2024-01-12,ST002,City Center Store,Bareilly,Uttar Pradesh,C1027,Male,25,P011,Wheat Flour 5kg,Grocery,4,225.0,300.0,0,1200.0,0.0,1200.0,900.0,300.0,25.0,62,11,73,69,43,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T000513,2024-01-12,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C1170,Male,33,P016,Perfume,Beauty,2,560.0,900.0,15,1800.0,270.0,1530.0,1120.0,410.0,26.8,168,43,211,209,29,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T002099,2024-01-12,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0216,Male,44,P011,Wheat Flour 5kg,Grocery,1,225.0,300.0,0,300.0,0.0,300.0,225.0,75.0,25.0,195,119,314,313,39,Healthy,Cash,2024,1,January,Q1,Friday,Winter
T004243,2024-01-12,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0648,Male,49,P019,Cookware Set,Home & Kitchen,2,1500.0,2400.0,0,4800.0,0.0,4800.0,3000.0,1800.0,37.5,113,76,189,187,33,Healthy,Credit Card,2024,1,January,Q1,Friday,Winter
T000688,2024-01-12,ST004,Mall Store,Agra,Uttar Pradesh,C0858,Female,39,P005,T-Shirt,Clothing,1,380.0,700.0,25,700.0,175.0,525.0,380.0,145.0,27.62,89,52,141,140,56,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T002681,2024-01-12,ST004,Mall Store,Agra,Uttar Pradesh,C0961,Female,41,P005,T-Shirt,Clothing,1,380.0,700.0,10,700.0,70.0,630.0,380.0,250.0,39.68,62,22,84,83,58,Healthy,Debit Card,2024,1,January,Q1,Friday,Winter
T003806,2024-01-12,ST004,Mall Store,Agra,Uttar Pradesh,C0209,Female,38,P010,Rice 5kg,Grocery,1,510.0,650.0,20,650.0,130.0,520.0,510.0,10.0,1.92,127,98,225,224,32,Healthy,Credit Card,2024,1,January,Q1,Friday,Winter
T001847,2024-01-12,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0325,Female,18,P011,Wheat Flour 5kg,Grocery,3,225.0,300.0,0,900.0,0.0,900.0,675.0,225.0,25.0,45,128,173,170,27,Healthy,UPI,2024,1,January,Q1,Friday,Winter
T001987,2024-01-12,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0685,Female,40,P009,Cooking Oil,Grocery,3,135.0,180.0,10,540.0,54.0,486.0,405.0,81.0,16.67,293,144,437,434,54,Healthy,Cash,2024,1,January,Q1,Friday,Winter
T003651,2024-01-12,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0560,Female,43,P010,Rice 5kg,Grocery,3,510.0,650.0,5,1950.0,97.5,1852.5,1530.0,322.5,17.41,296,85,381,378,57,Healthy,Debit Card,2024,1,January,Q1,Friday,Winter
T003725,2024-01-13,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0622,Female,33,P005,T-Shirt,Clothing,2,380.0,700.0,0,1400.0,0.0,1400.0,760.0,640.0,45.71,247,130,377,375,54,Healthy,Debit Card,2024,1,January,Q1,Saturday,Winter
T000994,2024-01-13,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0336,Female,30,P011,Wheat Flour 5kg,Grocery,4,225.0,300.0,10,1200.0,120.0,1080.0,900.0,180.0,16.67,166,28,194,190,33,Healthy,UPI,2024,1,January,Q1,Saturday,Winter
T004924,2024-01-13,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0846,Female,41,P006,Jeans,Clothing,2,950.0,1600.0,5,3200.0,160.0,3040.0,1900.0,1140.0,37.5,85,88,173,171,53,Healthy,Debit Card,2024,1,January,Q1,Saturday,Winter
T004996,2024-01-13,ST004,Mall Store,Agra,Uttar Pradesh,C0007,Male,36,P018,Mixer Grinder,Home & Kitchen,2,1850.0,2800.0,10,5600.0,560.0,5040.0,3700.0,1340.0,26.59,174,56,230,228,27,Healthy,UPI,2024,1,January,Q1,Saturday,Winter
T002455,2024-01-13,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0023,Male,31,P010,Rice 5kg,Grocery,2,510.0,650.0,15,1300.0,195.0,1105.0,1020.0,85.0,7.69,46,103,149,147,57,Healthy,Debit Card,2024,1,January,Q1,Saturday,Winter
T002673,2024-01-13,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0525,Female,35,P015,Body Lotion,Beauty,2,215.0,350.0,10,700.0,70.0,630.0,430.0,200.0,31.75,167,54,221,219,25,Healthy,Cash,2024,1,January,Q1,Saturday,Winter
T003519,2024-01-13,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0551,Male,34,P019,Cookware Set,Home & Kitchen,3,1500.0,2400.0,5,7200.0,360.0,6840.0,4500.0,2340.0,34.21,184,61,245,242,31,Healthy,Cash,2024,1,January,Q1,Saturday,Winter
T003600,2024-01-13,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0034,Male,27,P004,USB Cable,Electronics,4,220.0,450.0,0,1800.0,0.0,1800.0,880.0,920.0,51.11,296,87,383,379,39,Healthy,Cash,2024,1,January,Q1,Saturday,Winter
T003701,2024-01-13,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0111,Female,41,P003,Smart Watch,Electronics,2,2300.0,3500.0,10,7000.0,700.0,6300.0,4600.0,1700.0,26.98,64,116,180,178,38,Healthy,Cash,2024,1,January,Q1,Saturday,Winter
T003638,2024-01-14,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0893,Female,36,P010,Rice 5kg,Grocery,1,510.0,650.0,10,650.0,65.0,585.0,510.0,75.0,12.82,69,19,88,87,45,Healthy,UPI,2024,1,January,Q1,Sunday,Winter
T001924,2024-01-14,ST002,City Center Store,Bareilly,Uttar Pradesh,C0255,Male,50,P010,Rice 5kg,Grocery,4,510.0,650.0,5,2600.0,130.0,2470.0,2040.0,430.0,17.41,139,148,287,283,26,Healthy,UPI,2024,1,January,Q1,Sunday,Winter
T002683,2024-01-14,ST002,City Center Store,Bareilly,Uttar Pradesh,C0186,Male,40,P003,Smart Watch,Electronics,1,2300.0,3500.0,5,3500.0,175.0,3325.0,2300.0,1025.0,30.83,125,38,163,162,50,Healthy,Cash,2024,1,January,Q1,Sunday,Winter
T000054,2024-01-14,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0172,Female,33,P012,Tea 500g,Grocery,1,190.0,280.0,5,280.0,14.0,266.0,190.0,76.0,28.57,224,114,338,337,46,Healthy,Cash,2024,1,January,Q1,Sunday,Winter
